term,cluster_count,clusters,has_overlap
ai,1,digital_transformation,False
kpi,1,performance_npm,False
갈등,1,organizational_culture,False
감염,1,public_health_crisis,False
감염병,1,public_health_crisis,False
갑질,1,organizational_culture,False
개혁,1,performance_npm,False
거리두기,1,public_health_crisis,False
격리,1,public_health_crisis,False
경영,1,performance_npm,False
경쟁,1,performance_npm,False
공정,1,fairness,False
공정성,1,fairness,False
공채,1,fairness,False
관리,1,performance_npm,False
괴롭힘,1,organizational_culture,False
구조조정,1,performance_npm,False
균등,1,fairness,False
근무,1,organizational_culture,False
근무환경,1,organizational_culture,False
기회균등,1,fairness,False
긴급재난지원금,1,public_health_crisis,False
뉴딜,1,digital_transformation,False
대응,1,public_health_crisis,False
데이터,1,digital_transformation,False
디지털,1,digital_transformation,False
디지털뉴딜,1,digital_transformation,False
디지털전환,1,digital_transformation,False
디지털정부,1,digital_transformation,False
마스크,1,public_health_crisis,False
메타버스,1,digital_transformation,False
모바일,1,digital_transformation,False
목표,1,performance_npm,False
문화,1,organizational_culture,False
민영화,1,performance_npm,False
방역,1,public_health_crisis,False
백신,1,public_health_crisis,False
보상,1,performance_npm,False
불공정,1,fairness,False
불평등,1,fairness,False
블라인드채용,1,fairness,False
블록체인,1,digital_transformation,False
비대면,1,digital_transformation,False
비리,1,fairness,False
비상,1,public_health_crisis,False
비정규직,1,fairness,False
빅데이터,1,digital_transformation,False
사회적거리두기,1,public_health_crisis,False
상급자,1,organizational_culture,False
생산성,1,performance_npm,False
성과,1,performance_npm,False
성과급,1,performance_npm,False
성과주의,1,performance_npm,False
성과평가,1,performance_npm,False
세대갈등,1,organizational_culture,False
소통,1,organizational_culture,False
수평,1,organizational_culture,False
수평적,1,organizational_culture,False
스마트,1,digital_transformation,False
스마트정부,1,digital_transformation,False
시장화,1,performance_npm,False
실적,1,performance_npm,False
알고리즘,1,digital_transformation,False
업무,1,organizational_culture,False
업무환경,1,organizational_culture,False
온라인,1,digital_transformation,False
워라밸,1,organizational_culture,False
위계,1,organizational_culture,False
위계질서,1,organizational_culture,False
위기,1,public_health_crisis,False
유연근무,1,organizational_culture,False
인공지능,1,digital_transformation,False
일과삶,1,organizational_culture,False
자가격리,1,public_health_crisis,False
자동화,1,digital_transformation,False
재난,1,public_health_crisis,False
재난지원금,1,public_health_crisis,False
재택근무,1,organizational_culture,False
전자정부,1,digital_transformation,False
접종,1,public_health_crisis,False
정규직,1,fairness,False
정보화,1,digital_transformation,False
정의,1,fairness,False
조직,1,organizational_culture,False
조직문화,1,organizational_culture,False
중대본,1,public_health_crisis,False
중앙방역대책본부,1,public_health_crisis,False
직원,1,organizational_culture,False
직장,1,organizational_culture,False
직장내괴롭힘,1,organizational_culture,False
질병관리청,1,public_health_crisis,False
차별,1,fairness,False
채용,1,fairness,False
채용비리,1,fairness,False
책임,1,performance_npm,False
책임성,1,performance_npm,False
코로나,1,public_health_crisis,False
코로나19,1,public_health_crisis,False
코로나바이러스,1,public_health_crisis,False
클라우드,1,digital_transformation,False
투명,1,fairness,False
투명성,1,fairness,False
특권,1,fairness,False
특혜,1,fairness,False
팬데믹,1,public_health_crisis,False
평가,1,performance_npm,False
평등,1,fairness,False
플랫폼,1,digital_transformation,False
하급자,1,organizational_culture,False
혁신,1,performance_npm,False
형평,1,fairness,False
형평성,1,fairness,False
확진,1,public_health_crisis,False
확진자,1,public_health_crisis,False
회식,1,organizational_culture,False
효율,1,performance_npm,False
효율성,1,performance_npm,False
