cluster_id,label_ko,term,rationale
organizational_culture,조직문화,갈등,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,갑질,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,괴롭힘,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,근무,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,근무환경,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,문화,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,상급자,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,세대갈등,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,소통,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,수평,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,수평적,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,업무,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,업무환경,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,워라밸,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,위계,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,위계질서,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,유연근무,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,일과삶,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,재택근무,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,조직,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,조직문화,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,직원,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,직장,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
