condition,topic,rank,keyword,probability
covid_filtered_retrained,0,1,여성,0.015041
covid_filtered_retrained,0,2,마음,0.00753
covid_filtered_retrained,0,3,청년,0.004766
covid_filtered_retrained,0,4,현실,0.003653
covid_filtered_retrained,0,5,경험,0.002603
covid_filtered_retrained,0,6,의미,0.002588
covid_filtered_retrained,0,7,이해,0.002532
covid_filtered_retrained,0,8,개인,0.002222
covid_filtered_retrained,0,9,혼자,0.002207
covid_filtered_retrained,0,10,고통,0.002139
covid_filtered_retrained,0,11,감정,0.002127
covid_filtered_retrained,0,12,부부,0.002055
covid_filtered_retrained,0,13,행동,0.002046
covid_filtered_retrained,0,14,차별,0.00188
covid_filtered_retrained,0,15,조직,0.001863
covid_filtered_retrained,1,1,산업,0.010858
covid_filtered_retrained,1,2,주택,0.010094
covid_filtered_retrained,1,3,규제,0.009781
covid_filtered_retrained,1,4,추진,0.008671
covid_filtered_retrained,1,5,경영,0.005996
covid_filtered_retrained,1,6,성장,0.004929
covid_filtered_retrained,1,7,운영,0.004828
covid_filtered_retrained,1,8,평가,0.004804
covid_filtered_retrained,1,9,혁신,0.004554
covid_filtered_retrained,1,10,관리,0.004364
covid_filtered_retrained,1,11,정책,0.004113
covid_filtered_retrained,1,12,개선,0.004051
covid_filtered_retrained,1,13,계약,0.003663
covid_filtered_retrained,1,14,경쟁력,0.003654
covid_filtered_retrained,1,15,활용,0.003222
covid_filtered_retrained,2,1,정보,0.005934
covid_filtered_retrained,2,2,디지털,0.005413
covid_filtered_retrained,2,3,플랫폼,0.004954
covid_filtered_retrained,2,4,데이터,0.004927
covid_filtered_retrained,2,5,활용,0.004894
covid_filtered_retrained,2,6,혁신,0.004389
covid_filtered_retrained,2,7,성장,0.003896
covid_filtered_retrained,2,8,산업,0.003417
covid_filtered_retrained,2,9,전략,0.00341
covid_filtered_retrained,2,10,인공지능,0.003362
covid_filtered_retrained,2,11,평가,0.00323
covid_filtered_retrained,2,12,경쟁,0.002742
covid_filtered_retrained,2,13,가치,0.002462
covid_filtered_retrained,2,14,승진,0.002422
covid_filtered_retrained,2,15,운영,0.002346
covid_filtered_retrained,3,1,정책,0.017156
covid_filtered_retrained,3,2,평가,0.010214
covid_filtered_retrained,3,3,개혁,0.008067
covid_filtered_retrained,3,4,혁신,0.006063
covid_filtered_retrained,3,5,비판,0.006002
covid_filtered_retrained,3,6,성장,0.005064
covid_filtered_retrained,3,7,역할,0.004457
covid_filtered_retrained,3,8,갈등,0.00432
covid_filtered_retrained,3,9,전략,0.003592
covid_filtered_retrained,3,10,의미,0.003557
covid_filtered_retrained,3,11,제안,0.003118
covid_filtered_retrained,3,12,인사,0.002976
covid_filtered_retrained,3,13,경쟁,0.002867
covid_filtered_retrained,3,14,비례,0.002754
covid_filtered_retrained,3,15,추진,0.002635
covid_filtered_retrained,4,1,관리,0.006655
covid_filtered_retrained,4,2,의료,0.006212
covid_filtered_retrained,4,3,평가,0.003925
covid_filtered_retrained,4,4,동물,0.003581
covid_filtered_retrained,4,5,질환,0.003531
covid_filtered_retrained,4,6,식품,0.003146
covid_filtered_retrained,4,7,물질,0.003139
covid_filtered_retrained,4,8,증상,0.003119
covid_filtered_retrained,4,9,먼지,0.002732
covid_filtered_retrained,4,10,질병,0.002631
covid_filtered_retrained,4,11,진료,0.00257
covid_filtered_retrained,4,12,유전자,0.002497
covid_filtered_retrained,4,13,미세,0.002452
covid_filtered_retrained,4,14,세포,0.00232
covid_filtered_retrained,4,15,의약품,0.002183
covid_filtered_retrained,5,1,평가,0.008073
covid_filtered_retrained,5,2,스페인,0.004082
covid_filtered_retrained,5,3,활약,0.002928
covid_filtered_retrained,5,4,캐나다,0.002757
covid_filtered_retrained,5,5,계약,0.0027
covid_filtered_retrained,5,6,런던,0.002287
covid_filtered_retrained,5,7,두산,0.002193
covid_filtered_retrained,5,8,롯데그룹,0.00218
covid_filtered_retrained,5,9,공격,0.00217
covid_filtered_retrained,5,10,개막,0.0021
covid_filtered_retrained,5,11,스위스,0.002011
covid_filtered_retrained,5,12,후반,0.001954
covid_filtered_retrained,5,13,아시안,0.001947
covid_filtered_retrained,5,14,라운드,0.001931
covid_filtered_retrained,5,15,영입,0.001883
covid_filtered_retrained,6,1,평가,0.006436
covid_filtered_retrained,6,2,의미,0.003697
covid_filtered_retrained,6,3,성과,0.00333
covid_filtered_retrained,6,4,전략,0.002693
covid_filtered_retrained,6,5,공격,0.002652
covid_filtered_retrained,6,6,추진,0.002331
covid_filtered_retrained,6,7,역할,0.002297
covid_filtered_retrained,6,8,비판,0.002068
covid_filtered_retrained,6,9,무기,0.001942
covid_filtered_retrained,6,10,동맹,0.001898
covid_filtered_retrained,6,11,행동,0.001878
covid_filtered_retrained,6,12,통일부,0.001836
covid_filtered_retrained,6,13,조직,0.001829
covid_filtered_retrained,6,14,정책,0.001817
covid_filtered_retrained,6,15,작전,0.001814
covid_filtered_retrained,7,1,교육,0.030098
covid_filtered_retrained,7,2,평가,0.016268
covid_filtered_retrained,7,3,운영,0.008203
covid_filtered_retrained,7,4,인재,0.006438
covid_filtered_retrained,7,5,참여,0.00616
covid_filtered_retrained,7,6,취업,0.005129
covid_filtered_retrained,7,7,고교,0.004135
covid_filtered_retrained,7,8,학습,0.003861
covid_filtered_retrained,7,9,능력,0.003705
covid_filtered_retrained,7,10,대학원,0.003636
covid_filtered_retrained,7,11,자사고,0.003612
covid_filtered_retrained,7,12,전공,0.003592
covid_filtered_retrained,7,13,고등학교,0.003417
covid_filtered_retrained,7,14,입시,0.00332
covid_filtered_retrained,7,15,고려대,0.00316
covid_filtered_retrained,8,1,일자리,0.019812
covid_filtered_retrained,8,2,청년,0.013568
covid_filtered_retrained,8,3,공무원,0.013301
covid_filtered_retrained,8,4,고용,0.011049
covid_filtered_retrained,8,5,임금,0.010525
covid_filtered_retrained,8,6,노동자,0.010148
covid_filtered_retrained,8,7,연금,0.008432
covid_filtered_retrained,8,8,복지,0.008345
covid_filtered_retrained,8,9,노동,0.008241
covid_filtered_retrained,8,10,정책,0.008172
covid_filtered_retrained,8,11,노조,0.00801
covid_filtered_retrained,8,12,직원,0.007255
covid_filtered_retrained,8,13,업무,0.006117
covid_filtered_retrained,8,14,근로자,0.00575
covid_filtered_retrained,8,15,개선,0.005596
covid_filtered_retrained,9,1,인사,0.009863
covid_filtered_retrained,9,2,공무원,0.008489
covid_filtered_retrained,9,3,논란,0.008371
covid_filtered_retrained,9,4,판단,0.007289
covid_filtered_retrained,9,5,비판,0.005824
covid_filtered_retrained,9,6,조직,0.005314
covid_filtered_retrained,9,7,책임,0.005221
covid_filtered_retrained,9,8,정보,0.004566
covid_filtered_retrained,9,9,행위,0.00388
covid_filtered_retrained,9,10,절차,0.003832
covid_filtered_retrained,9,11,개혁,0.003579
covid_filtered_retrained,9,12,업무,0.003048
covid_filtered_retrained,9,13,권한,0.0029
covid_filtered_retrained,9,14,공직자,0.002522
covid_filtered_retrained,9,15,폐지,0.002318
