정부,키워드,문장
박근혜정부,개혁,만능 프린터로 손수 제작 제조업 개혁 이끌까 지난 일 대구 창조경제혁신센터에서는 한국과 중국 일본 등 세 나라의 메이커 들이 모인 한 중 일 패션 웨어러블 메이커톤 대회가 열렸다 메이커 하면 보통 제조업체의 브랜드를 지칭하는 말로 이해한다 이 가방이 어디 메이커니 하는 식이다 하지만 여기서 말하는 메이커는 전혀 다른 뜻이다 영어 단어 는 제조사를 뜻하는 메이커와 만능 프린터 제작 제조업 개혁 창조경제혁신센터 대구 창조 경제 혁신 센터 한국 중국 일본 나라 메이커 메이커톤 패션 웨어러블 대회 메이커 보통 제조 업체 브랜드 지칭 이해 가방 메이 메이커 영어 단어 제조사 메이커 메이커 사람 컴퓨터 프로그램 전자제품 로봇 액세서리 가구 요리 자신 머리 각종 물건 통칭 직장 산업 제조업혁명 제작도구 견인 네트워크 발달 창조 문화 프린터 제조 승인 물질 독점 거대제약사 통제 미래창조과학부 한국창의과학재단 주최 이날 행사 세계적 확산 메이커 운동 바람 시작 섬유 의류 단지 자리 대구혁신센터 참가자들 패션 전자 접목 제품 제작 박 일간 머리 권민주씨 참가자 디자이너 권민주 이날 행사 전문가 멘토링 중국 일본 메이커들 협업 기회 한국창의과학재단 이날 메이커 교류 메이크 온라인 플랫폼 닷컴 대구 경북 메이커스 네트워크 출범 홍보대사 평소 손수 제작 가수 구준엽 클론 참여 영미권 중반 영미 시작 메이커 운동 세계 주목 버락 오바마 미국 대통령 백악관 메이커 페어 메이커들 축제 오바마 대통령 자리 프로젝트 미국 제조업 혁명 대표 혁명 직장 산업 월스트리트 저널 메이커 운동 중국 자리 세계 해커스페이스 메이커들 장소 중국 여개 메이커 운동 손수 제작 문화 영향 손수제작 가구 제작 생활 용품 수공업 전문가 의존 창조 문화 손수 제작 문화 원형 영역 음악 펑크 장르 대변 일련 문화운동 거대 음반 회사 주도 음악 상업화 반기 연주 음반 제작 문화 주동 전통적 생산자 소비자 이분법 구조 저항적 문화 양식 영역 손수제작 메이커 운동 발전 요리 전통 손수 제작 분야 근래 요리 대중 관심 메이커 운동 연관 주목 메이커 운동 배경 발전 컴퓨터 발전 각종 도구 가격 비약적 개인 생산능력 확장 계기 금속 모양 밀링머신 과거 원대 정보기술 발달 결정적 메이커 정신 관심 분야 몰입 자기만족적 헌신 네트워크 사이 연결 교환 도전정신 자극 덕분 창조성 발전 메이커 문화 핵심 평가 차원 프린터 프린터 제조업 붕괴 생산과정 개인 민주화 전망 프린터 프린터 문서 플라스틱 사출 방식 금속 절삭 형태 재질 물체 대로 기기 반론 이달 미국 식품 의약국 사상 프린터 승인 변화 지역 약국 가정 맞춤형 제조 제약사 과거 거대 역할 유지 애틀랜틱 미국 시사 주간지 미국 위스콘신대학교 산업 역사학자 그레고리 힉비 교수 인용 등장 제약 방식 년 개별 약사 제조 프린터 물질 당국 허가 거대 제약사 통제 능력 개입 영향 얼마 지역 서점 분권화 온라인 배송 업체 출판사 메이커 운동 향방 가늠 물살 사실 구글 페이지 공동 창업자 래리 학부 시절 레고 블록 잉크젯 프린터 메이커 활동 자신 메이커 정신 벤처 모태 프로그래밍 공부 온라인 강좌 플랫폼 생활 코딩 운영자 이고잉 아이디 도구 자료 요즘 코딩 시대 시대 프로그래밍 적용 미국 온라인 손수제작 네트워크 대구 중국 제조업 메이커들 차원 참가자 래리 한국창의과학재단 수공업 전문가 오바마
박근혜정부,개혁,늦어지는 총리 인선 발목 잡힌 국정 운영 과제 최창렬 교수 이진곤 국민일보 논설고문 앵커 인사검증 문제 등으로 후임 총리 인선이 늦어지면서 박근혜 대통령의 고민도 깊어지는 모양새입니다 인사문제에 발목이 잡히면서 현 정부가 내세웠던 국정운영 과제도 제대로 추진되지 못하고 있다는 지적까지 나오고 있습니다 전문가 모셨습니다 이진곤 국민일본 논설고문 최창렬 용인대 교수 두 분 모셨습니다 어서 오십시오 박근혜 대통령 총리 인선 발목 국정 운영 최창렬 교수 이진곤 국민일보 논설 고문 앵커 인사검증 인선 후임 총리 박근혜 대통령 고민 모양새 인사문제 발목 정부 국정운영 추진 지적 전문가 논설고문 이진곤 국민 일본 논설 고문 교수 최창렬 용인대 박근혜 대통령 인적 쇄신 고민 마무리단계 일요일 화요일 며칠 주제 총리인사 야권 거론 주제 정홍원 총리 후임 총리 총리 적합 인물 질문 사전 그래픽 사람 모습 최창렬 교수 김종인 새누리당 국민 행복 추진 위원장 김영란 국민권익위원장 이진곤 고문 김문수 지사 김영란 국민권익위원장 김영란 국민권익위원장 공통 설명 인터뷰 김영란 위원장 자신 총리 생각 김영란법 얘기 부정청탁금지법 이해 충돌 방지 정도 생각 정도 얘기 관료사회 민관유착 정경유착 관피아 개척 적임자 중요 이야기 법률가 생각 법률가 총리 적임자 총리 인물 개념 관료사회 개격 의미 관료 사회 개혁 사회 양극화 화합 중요 감사원장 검찰총장 김영란 위원장 말씀 사족 관피아 전관예우 자유 의미 생각 김영란법 앵커 이진곤 고문 인터뷰 말씀 교수 공감 법조인 말씀 김영란법 제정 청렴의지 도덕성 강조 측면 여성 요즘 사실 중요 국민들 치료 힐링 리더십 박근혜 대통령 여성 김영란 대법 여성 국민들 법조인 이미지 포용력 이미지 법조인 방면 제도 교수님 제도 교수 입장 앵커 주제어 말씀 거론 노무현 정부 총리 회장 한덕수 무역 협회 강철규 공정 거래 위원장 얘기 야권 인사들 기용 목소리 인터뷰 야권 인사 기용 측면 야권 생각 야권 거부 정권 사회 이념갈등 시야 그동안 비판 제기 관료 법률가 초첨 비판 여야 제기 직권 보수 성향 인사 야성 인사 중도 진보 정도 인사들 사람 개혁성 도덕성 도덕 청문회 통과 고사 능력 지명 검증 고정관념 탈피 검즈움 통과 국민 눈높이 인물 특정인물 거론 시민운동가쪽 시야 국무총리 전체적 내각 통할 자리 법률 관료 이념 탈피 인물구역 청와대 인물 것들 반영 인사 앵커 인사시기 지적 그래픽 준비 정부 박근혜 출범 국방장관 미래 창조 과학부 장관 임명 일 일 단추 시작 감사원장 자리 양건 감사원장 사퇴 장관 신임 황찬현 임명 일 공백사태 보건 복지 장관 사퇴 위기 상황 장관 윤진식 해수부 실언 경질 일 대통령 민원 비서관 자리 일 자리 정홍원 국무총리 사의 표명 일 후임 남재준 국정원장 일 결정 박근혜 정부 인사전략 인사시스템 비판 생각 인터뷰 자리 총리 장관 자리 자리 사람 자리 비용 정부 청와대 짜임새 안정 분위기 자리 제때 국무회의 청와대 수석 회의 비서관들 대통령 혼자 안정 추진 정책 추진 대통령 유능 대통령 혼자 그밑 총리 국무위원 대통령 보좌인 분야 대통령 보좌 대통령 대통령 무리 허점 인사 신경 앵커 교수 인사 공백 인터뷰 인재풀 말씀 연장 얘기 국정철학 국정철학 얘기 추상적 이야기 대통령 코드 인사 대통령 수석 장관 코드 국정철학 이념적 간격 무게 인사 아까 말씀 청문회 청문회 통과 국민 눈높이 적합 인사 청문회 화면 부처 장관 것들 출범 대통령 정권 인사시스템 지적 지지율 정권 초기 안대희 대법관 사퇴 책임론 거론 다들 지적 청와대 검증 대통령인사위원회 팀들 직군 자신들 측근 인수위 측면 생각 앵커 전당 대회 새누리당 얘기 주제어 우정 제목 인터뷰 얘기 동지 구별 정치 얘기 독일 헌법학자 이야기 영원 영원 동지 얘기 정치 우정 이시종 후보 윤진식 후보 청주고등학교 동기 서청원 의원 김무성 의원 과거 통일민주당 민주계 서청원 의원 대 민한당 입당 사람 대변인 비서실장 때 대통령 정무장관 원내총무 지명 자리 김무성 의원 대 통일민주당 출발 상도동계 마지막 세대 우정 우정 외나무다리 어승부 친박 친박 주장 친박 분위기 비박 분위기 년 세종시 세종시 박근혜 대표 대선 복당 서청원 의원 자타 공인 과거 자타 공인 친박연대 대 친화력 여야 가지 정치 입지 지향점 앵커 인터뷰 얘기 사석 자리 앵커 이진곤 고문 생각 인터뷰 구성원들 사람 이미지 박근혜 대통령 편안 박근혜 그늘 재창출 정권 가능 판단 서청원 의원 박근혜 대통령 박근혜 정부 여당 역할 생각 김무성 의원 분위기 친박 비박 공언 분위기 김무성 의원 친박역할 세종시 사실 대표 논의 요즘 배신 의리 배신 무리 박근혜 대통령 새누리당 의존도 유지 그늘 판단 당락 결정 말씀중 이진곤 고문 말씀 유지 분리 언론 집권당 대표 관심 국민 관심 서청원 김무성 의원 관심 관심 야당 마찬 야당 대표 관심 당청관계락 고문 말씀 맥락 자율적 강조 정당 후보 정당 후보 대통령 당선 대통령 당정 초월 원래 대통령중심제 현실적 당정청 여권 형성 청와대 내각 협조 청와대 일방적 관점 의원 서청원 당청관계 소통 원활 당정청 고리역할 당정청 고리 역할 청와대 일방적 곤란 얘기 김무성 의원 얘기 김기춘 실장 뉘앙스 대통령선택사항 전당대회 당심 박심 중요 납득 얘기 당정 정립 국민들 의미 공청권 행사 인맥 게의미 국민적 당청 긴장관계 청와대 목소리 국민들 전달 당청 의미 앵커 야당 얘기 주제 재보선 파워게임 정치 민주 내부 파워 게임 시작 민주당 출신 안철수 공동 대표 조짐 공천 갈등 재현 지방 선거 부분들 라운드 인터뷰 안철수 대표 자신 계파 당선 정치인 자신 계파 인사들 원내 진출 이의 제기 대표 얼마 광주 전략 공천 논란 사실 군데 최소 결정 서울 포함 군데 안철수 대표 자신 인사쪽 고집 전략공천 남용 민주당쪽 통과 영입 정도 선거 대표 공격 것들 야당 대안당 인정 대표 양보 민주당 공격 인터뷰 고문님 내부갈등 인터뷰 큰틀 최교수님 의견 대표 세력 확장 생각 저항 안철수 대표 세력 확보 한계 친노계 세력들 세력들 만큼 저항 권력다툼 스스로 안철수 대표 자신 이미지 훼손 결과 리더십 발휘 앵커 마지막 주제 거물들 동작 동작 군데 서울 재보궐선거 별들 전쟁 거물들 올스타전 인터뷰 서울 지역구 특성 경기 서울 군데 분산 서울 여야 거물 거부감 언론 거물급 인사 정치 복귀 여당 오세훈 나경원 이혜훈 의원 야권 정동영 천정배 금태섭 분들 배지 종로구 정치일 번지 양쪽 정치승리 지방선거 연장 국민들 지지 총력 앵커 고문님 인터뷰 별들 전쟁 여권 야권 진입 사람 자리 차지 사람 옛날 출신들 대선 후보 출신 김황식 총리 진입 기회 상징성 자리 수도권 중요 거물 홍보수석 사람 이정현 홍보 수석 네임밸류 정치 배경 이용 우월적 지위 생각 사람 경쟁 경쟁 성공 인기 지위 강화 앵커 여야 승부 중요 자리 공천경쟁 치열 논설고문 이진곤 국민일보 논설 고문 교수 최창렬 용인대 수고 인터뷰 청와대 박근혜 이진곤 김영란 서울 당청 안철수 서청원 위원장 국민들 최창렬 친박 새누리당 세종시 인사들 당정청 고문님 민주당 감사원장
박근혜정부,개혁,유승민 원내대표 공무원연금 개혁 월 일까지 입법 완료 정부와 청와대 새누리당은 공무원연금 개혁을 기존 여야 합의대로 월 일까지 완료한다는 방침을 재확인했습니다 유승민 원내대표는 오늘 당정청 회의가 끝난 뒤 기자회견을 열고 공무원연금 개혁은 시급성을 감안해 최우선으로 추진하기로 했다고 밝혔습니다 이에 따라 공무원연금 개혁특위 운영 시한인 월 일까지 입법조치를 완료할 계획이라고 유 원내대표는 유승민 원내 대표 공무원 연금 개혁 입법 정부 청와대 새누리당 공무원 연금 개혁 여야 합의 방침 재확인 유승민 원내 대표 회의 당정청 기자회견 공무원 연금 개혁 감안 최우선 추진 공무원 연금 개혁 특위 운영 시한 입법조치 계획 원내 설명 국민 타협기구 활동 시한 이달 만큼 이해관계자 의견 수렴 마련 유승민 공무원 만큼 당정청 타협기구 이해관계자 청와대 기자회견 최우선 재확인 새누리당 입법조치 개혁 시한 입법 대표 이달 원내 운영 수렴 의견 타협 국민 기구 회의 설명 계획 방침 정부 활동 조치 회견 추진 감안 합의 여야 특위 연금 마련
박근혜정부,경영,동아원 등 대기업 곳 추가로 구조조정한다 동아원 등 대기업 곳이 추가로 구조조정 수술대에 오른다 올해 상반기에 이미 구조조정 대상이 된 곳을 합하면 모두 개로 년 곳 이후 최대 규모다 하지만 당장 월 일이면 채권은행 중심의 구조조정 수단인 워크아웃 기업재무구조개선작업 의 근거법인 기업구조조정촉진법 기촉법 이 종료될 상황이어서 일부 혼란이 우려된다 금융감독 동아원 추가 구조조정 동아원 추가 구조 조정 수술대 상반기 구조 조정 대상 곳 개 년 곳 최대 규모 당장 채권 은행 중심 구조 조정 수단 워크아웃 기업재무구조개선작업 근거 법인 기업 구조 조정 촉진법 기촉법 종료 상황 혼란 금융감독원 신용위험평가 진행 곳 워크아웃 대상 등급 곳 퇴출 대상 등급 선정 곳 구조 조정 대상 가운 워크아웃 결정 동아원 상장사 등급 곳 포함 채권은행들 지난달 억 금융 신용 공여액 대기업 부실 위험 가능 곳 대상 신용위험평가 신용 위험 평가 년 차례 상반기 세계경제 경영 어려움 기업 급증 구조 조정 부각 잣대 추가 신용 위험 평가 업종별 철강 곳 조선 기계제조 음식료 곳 포함 건설 전자 석유화학 자동차 골프장 업종 곳 구조 조정 대상 기업 채권 금융 기관 주도 워크아웃 신속 금융지원 자구 계획 이행 추진 기업 추가적 금융지원 자체적 정상화 추진 법정관리 기업회생절차 정리 계획 곳 금융권 조 은행 조 차지 은행들 대손충당금 조 구조 조정 살생부 수단 정작 구조 조정 기촉법 처지 혼선 예상 여야 국회 정무 위원회 종료 기촉법 년 개월 연장 개정안 잠정 합의 법안들 일괄 처리 여야 의견 바람 통과 연내 국회 사실상 상황 내년 워크아웃 불가능 워크아웃 채권단 동의 신속 자금지원 재무구조개선 경영정상화 추진 금감원 기촉법 종료 공백 최소화 채권 금융 기관 자율 협약 기업 구조 조정 운영 마련 작업 제 금융 금융회사 채권 금융 회사 참여 자율 협약 강제 지적 진웅섭 금융 감독원장 이날 은행 여신 부행장 참석 회의 협약 강제성 합리적 근거 행태 기관 이기주의 기업 구조 조정 애로 발생 협조 당부 처리 연내 법안 기촉법 실효 임시 국회 회기 내년 임시국회 내년 임시 국회 법안 통과 법안 효력 혼란 구조 조정 작업 진행 금융 위원회 관계자 국회 월 기촉법 처리 공백 기간 보름 정도 임시 국회 통과 혼란 최소화 구조조정 워크아웃 기촉법 대기업 곳 금융권 임시국회 곳 상반기 곳 동아원 위원회 관계자 신용위험평가 수술대 정작 살생부 곳
박근혜정부,경영,사설 정권 선전도구 공영방송을 제자리로 구체제 청산을 위한 대 과제 년 민주항쟁 당시 전국의 거리를 메운 시민들은 군사독재 타도와 함께 언론개혁을 외쳤다 전두환 정권의 강압정치에 분노했지만 정권의 나팔수인 언론의 죄상에 대해서도 매섭게 질타했다 언론계 내부에서 자성의 목소리가 커지면서 거듭나기 위한 몸부림이 이어졌다 가 한때 영향력 신뢰도 위 매체가 된 것은 이런 노 공영방송 정권 선전 도구 공영 방송 제자리 구 체제 청산 대 민주 항쟁 전국 거리 시민들 군사 독재 타도 언론개혁 전두환 정권 강압정치 분노 정권 나팔수 언론 죄상 질타 언론 내부 자성 목소리 몸부림 영향력 신뢰도 매체 노력 결과 년 촛불시민들 퇴진 박근혜 정권 언론개혁 촉구 박근혜 최순실 게이트 언론 게이트 공범 비판 아이러니 상황 직면 공영 공공 매체들 언론 역할 도외시 정권 박근혜 무능 비리 국정농단 가능 이명박 정권 이래 공영 방송 퇴보 권리 여론 형성 공론장 역할 시민 요구 반대 정권 홍보 여론 조작 봉사 중심 국민 방송 자임 공영 방송 세월 사건 이정현 청와대 홍보 수석 보도국장 김시곤 보도 국장 전화 정부 비판적 기사 요구 청와대 보도 간섭 기본 업무 공언 정도 보도 지침 시달 일상적 사건 최순실 국정 농단 보도 김재철 사장 경영진 권력 충견 노릇 박근혜 정권 공안 검사 출신 고영주 변호사 방송문화진흥회 이사장 방송사 정도 저널리즘 원칙 충실 기자들 시용기자들 동원 확산 극우 이데올로기 언론 시시비비 편향 이념 촛불집회 회사 로고 마이크 보도 기자들 고백 시민 분노 웅변 정부 지분 보유 정권 고삐 이명박 정부 낙하산 사장 기자들 년 해직 보도 책임자 청와대 홍보 수석 기용 공정 언론 포기 사장 우종범 기용 최씨 개입 정황 사장 중소기업은행장 출신 조준희 최씨 개입 서울신문 보도 정권 편향 비판 극우 논리 자본 이익 대변 운동장 한국 사회 기둥들 언론개혁 공영 방송 정상 시작 정권 방송 홍보 도구 활용 제도 개혁 개선 공영 방송 지배 구조 방송편성 자유 보장 우선 현행 방송법 정부 공영방송 최고 의결 기관 이사회 이사 절대다수 추천 구조 방송 장악 이사회 이사장 이인호 사장 인선 개입 사실 민정수석 김영한 청와대 민정 수석 비망록 낙하산 임명 이사장 포함 인 여당 인 추천 야당 방법 이사진 구성 여당 인 야당 인 추천 사장 분 찬성 특별다수제 선임 방안 대주주 방송문화진흥회 이사회 여당 인 추천 야당 구성 이사 시민단체 이사 추천 방법 독립성 사장 추천 위원회 낙하산 사장 차단 이중장치 방송편성 자유 강화 독립 규정도 방송사업자 제작 편성 개입 영향력 노사 동수 비율 편성위원회 구성 운영 공정보도 사후 감시 평가 장치 편성위원회 제청 인사 방송편성책임자 임명 편성위원회 편성규약 제정 이명박 박근혜 정권 언론 장악 왜곡 진상 한편 권력 봉사 언론인들 청산 이명박 정권 공영방송 언론 장악 여명 언론인 해고 여명 징계 복직 현장 복귀 필수 년 방송 제자리 방송 정권 종속 부역 언론 방송 출세 방편 권력 감시 비판 언론 본령 윤리 의식 자리 방송 개혁 박근혜 최순실 게이트 권력 감시 공정 보도 여론 형성 언론 민주주의 불가결 요소 재확인 정치권 제왕 대통령 개헌 목소리 분출 언론 수행 무소불위 권력 특정 세력 국정농단 불가능 새누리당 제외 정당들 공영 방송 개혁 주장 국회 당장 관련법 통과 언론개혁 공영방송 청와대 박근혜 이명박 국정농단 기자들 이사장 방송편성 이사회 위원회 언론개혁 언론인 변호사 시달 영향력 편성위원회 방송문화진흥회
박근혜정부,경영,방문진 문화방송 사장후보 명으로 압축 문화방송 사장 후보가 구영회 전 문화방송 미술센터 사장 김종국 대전문화방송 사장 안광한 문화방송 부사장 최명길 문화방송 보도국 유럽지사장 등 명으로 압축됐다 문화방송 최대주주인 방송문화진흥회 방문진 는 일 임시 이사회를 열어 김재철 전 사장의 퇴진으로 공석이 된 사장직 공개모집에 응한 명을 방문진 명 문화방송 사장 후보 압축 문화방송 사장 문화방송 미술 센터 김종국 대전문화방송 사장 안광한 문화방송 부사장 최명길 유럽지사장 문화방송 보도국 유럽 지사장 명 압축 문화방송 최대 주주 방송문화진흥회 방문진 이사회 임시 김재철 사장 퇴진 공석 사장직 공개 모집 명 대상 제출 경영계획서 검토 투표 결정 애초 방문진 후보자 배수 압축 이사 표결 동점자 명 후보 선정 이사 김충일 방문진 전화통화 표결 결과 공동 명 일 이사회 명 명 사장 내정자 선임 그날 주주총회 확정 계획 명 사장 후보 문화방송 년 피디 간부 근무 문화방송 안팎 사장 성향 정책 방송 태도 정권 편향 공정성 회복 계기 마련 결정 구영회 사장 정치부장 보도국장 경영본부장 삼척문화방송 사장 역임 도전 번째 사장 년 년 년 최종 후보군 김종국 사장 경제부장 정치부장 기획본부장 사장 추진 지역사 통폐합 마산 진주 문화방송 통합 창원문화방송 사장 유일 피디 출신 안광한 부사장 편성국장 편성본부장 역임 부사장 사장 퇴진 사장 직무 대행 최명길 유럽 지사장 워싱턴 특파원 보도 제작국 부국장 라디오 시사 프로그램 세계 진행 방문진 이사회 후보 명 분 면접 프레젠테이션 찬성 이사 과반수 사장 후보 최종 결정 사장 임기 사장 잔여 임기 내년 개월 전국언론노조 이날 문화방송 사장 언론 감시 역할인 권력 기관 견제 수행 방송 독립성 공정성 철학 인물 선임 김재철 체제 연장 인물 반대 의견 표명 언론노조 특별 결의문 후보들 사장 결탁 공영방송 가치 훼손 김재철 체제 유지 가담 적극 인물 포함 사장 김재철 체제 인물 선임 이명박 정권 논란 언론 장악 재연 사회 갈등 증폭 문화방송 명 방문진 이사회 본부장 부사장 사장직 김재철 최명길 명 부국장 역할인 김종국 안광한 공정성 지사장
박근혜정부,경쟁,삼성전자 북미 빌트인 가전 사업 강화 삼성전자가 차세대 생활가전사업 전략의 핵심인 기업 간 거래 와 빌트인 사업 강화를 위한 준비를 마쳤다 삼성전자는 미국 프리미엄 가전업체 데이코 인수식을 일 현지 시간 미국 캘리포니아 주 인더스트리 데이코 본사에서 열었다고 일 밝혔다 삼성전자는 이번 인수를 통해 고급 생활가전 라인업과 전문 유통망을 확보하며 북미 주택 삼성전자 북미 빌트인 가전 사업 강화 프리미엄업체 데이코 인수식 삼성전자 전략 차세대 생활 가전 사업 핵심 기업 거래 빌트인 사업 강화 준비 삼성전자 미국 프리미엄 가전 업체 데이코 인수식 일 현지 데이코 미국 캘리포니아 인더스트리 데이코 일 삼성전자 인수 라인업 고급 생활 가전 전문 유통망 확보 시장 북미 주택 가전 사업 강화 계획 주택 부동산 럭셔리 가전 중요도 빌트인 사업 경쟁력 소비자가전 윤부근 삼성전자 소비자 가전 대표 사장 삼성전자 혁신 역량 데이코 전문성 프리미엄 가전 전문 바탕 시장 북미 가전 영향력 강화 삼성전자 데이코 북미 미국 차세대 빌트인 윤부근 인수식 캘리포니아 유통망 부동산 경쟁력 소비자가전 중요도 프리미엄업체 영향력 소비자 전문성 시간 가전 프리미엄 강화 사업 주택 고급
박근혜정부,경쟁,현대기아차 상반기 내수점유율 깨져 년 만 수입차 공세가 나날이 거세지는 가운데 현대기아자동차의 상반기 내수 점유율이 년 만에 를 밑돈 것으로 나타났습니다 한국자동차산업협회 에 따르면 국내 자동차 신규등록 기준으로 올해 월 현대차와 기아차의 점유율은 각각 와 로 양사의 합산 점유율이 에 그쳤습니다 현대기아차의 신규등록 기준 반기 점유율이 선 현대기아차 상반기 내수 점유 수입 공세 현대기아자동차 점유율 상반기 내수 점유 년 한국자동차산업협회 자동차 신규 등록 기준 월 현대차 기아차 점유율 합산 점유 현대기아차 신규 등록 기준 반기 점유 선 상반기 년 현대차 점유 기아차 점유율 현대기아차 기아차 점유 상승 상반기 현대차 기아차 대 상반기 현대차 기아차 최고점 상반기 현대차 기아차 상반기 현대차 기아차 상반기 현대차 기아차 상승 곡선 상반기 현대차 기아차 하락 상반기 점유율 현대기아차 점유율 추락 기간 수입 시장 잠식 주요인 상반기 수입차 점유율 상반기 배 수입 점유 년 상반기 년 상반기 년 상반기 년 상반기 년 상반기 년 상반기 금융위기 년 하락세 상승곡선 급증세 자동차업계 수입차 기세 까닭 현대기아차 내수 점유 고지 탈환 시각 지배적 업계 관계자 현대기아차 점유율 년 상반기 수치적 구조적 천지 차이 년 현대차 대우 르노삼성 업체 완성 경쟁 구도 여력 점유 상승 경쟁 상대 평가 수입차 지적 실제 현대차 기아차 대우 르노삼성자동차 쌍용자동차 완성 제작 업체 점유율 신규 등록 기준 점유 수입차 내수 시장 점유 차지 상반기 현대기아차 점유 순위 수입차 한국 쌍용차 르노삼성차 사 수입차 비중 관계자 과거 사치품 인식 수입차들 연비 성능 디젤 차량 쏘나타급 중소 차량 시장 적극 공략 중소 차급 시장 잠식 수입차 경쟁 현대기아차 대 내수 점유 회복 싸움 전망 업계 관계자 수입 업계 내수 시장 잠식 자동차 약화 관계자 현대기아차 시장 과점 지위 수입차 경쟁 대응 측면 업체들 완성 업체 경쟁력 제품 과거 현대기아차 시장 분점 가능성 자동차산업 업체끼리 완성 업체 끼리 모델 한정 시장 싸움 수입 업체 경쟁 차종 강조 의미 현대차 메르세데스 벤츠 클래스 아우디 모델 독일 고급 대응 전략 차종 그랜저 제네시스 사이 아슬란 프리미엄 차량 방향 상반기 점유율 현대차 수입차 기아차 현대기아차 자동차 관계자 아우디 독일
박근혜정부,경쟁,경기 기술개발 지원으로 매출 일자리 늘려 앵커 인력과 자금 사정이 좋지 않은 중소기업이 새로운 기술을 개발하기란 여간 어려운 일이 아닙니다 이런 부분을 지원하기 위해 지자체가 나서고 있는데 매출 증대와 고용 창출 효과가 큰 것으로 나타났습니다 김학무 기자의 보도입니다 기자 대형 나 모니터 패널의 세정 장비를 개발하는 업체입니다 년 전 자본금 억 원으로 시작한 작은 지원 매출 일자리 앵커 인력 자금 사정 중소기업 지원 지자체 매출 증대 효과 고용 창출 김학무 보도 모니터 패널 세정 장비 업체 년 시작 업체 년 시작 자금 부족 어려움 도움 손길 경기도 과학 진흥원 년 억 자금 지원 성공 매출 고용 인원 증가 실적 중견기업 성장 최민옥 에이유테크 대표 중소기업 자체 자금 운영 지원 매출 발생 자금 인력난 동시 해결 사료 생산 업체 지원 핵심기술 성공 미국 제품 품질 수입물량 대체 김영일 사료 생산 업체 관계자 원천기술 미국 코팅 면실 독점 부분들 전량 국산 의의 자금 부족 중소기업 자금 지원 경기 년 기업 천 지원 천 매출 증가 천백 고용 성과 임창규 경기 과학 진흥원 팀장 고용 창출 효과 지원 취약 지원 경기도 최고 시책 지원 경기도 경쟁력 중소기업 일자리 중소기업 경기도 관계자 팀장 미국 김학무 진흥원 자본금 일자리 수입물량 부분들 김영일 최민옥 에이유테크 중견기업 임창규 원천기술 인력난 억 핵심기술 경쟁력 천 천백
박근혜정부,공공기관,취재일기 어느 공공기관의 용기 있는 고백 올해 월 중순 유길상 한국고용정보원장이 심각한 얼굴로 이렇게 말했다 개원한 지 년이 다 돼 가는데 제대로 된 게 하나도 없다 의욕과 열정을 찾을 수 없다 무기력증에 빠져있다 유 원장은 지난해 월 일 취임했다 딱 한 달 만에 내놓은 그의 진단은 한마디로 국민에 대한 서비스는 안중에 없는 기관으로 전락했다 는 것이다 고용정보원 공공기관 용기 고백 중순 유길 한국 고용 정보 원장 얼굴 개원 의욕 열정 무기력증 원장 취임 진단 한마디 국민 서비스 안중 기관 전락 고용정보원 국가 인력 수급 전망 워크넷 일자리 연결 고용정보 총괄 조직 기관 역할 국가 고용 서비스 엉망 얘기 진단 고용정보원 자기반성문 고용정보 총괄 조직 단순 보고서 발간 정책 누락 부실 연명 고용서비스 수요자 국민 공급자 편의주의 신뢰도 바닥 진로지도 미흡 고용보험 다량 개인정보 보유 정보 유출 유실 위험 상존 성과 인맥 계파 형성 공공기관 치명적 치부 총망라 노조 반응 의외 박기영 노조 위원장 눈치 얘기 직원 얘기 반성문 국민 사랑 조직 기관 그동안 반성문 짐작 대목 학습 무력감 업무 의미 책임 열정 보람 학습 무력감 고위 간부 홈페이지 색깔 고용노동부 지정 상황 능동적 낙하산 인선 원장 정치인 사람 원장 계파 형성 갈등 눈치 일상화 원장 개원 선포 조직 폐기 경장 위원장 한마디 용기 고백 정부 정치권 세계 국가 국가고용정보기관 일류 기관 재탄생 학습 무력감 외부 입김 낙하산 인사 자신들 선택 개혁 걸림돌 걱정 선임기자 김기찬 경제 선임 김기찬 무력감 위원장 반성문 한마디 박기영 공공기관 고용정보 고용서비스 정보원 고용정보원 진로지도 신뢰도 자신들 홈페이지 정치권 보고서 편의주의 일자리 개인정보 선임기자 총망라 무기력증 유길 공급자 일상화 고용보험 노동부 고용노동부 자기반성문 정치인 한국 정보기관 재탄생 그동안
