condition,topic,rank,keyword,probability
original_base,0,1,공무원,0.020743
original_base,0,2,관리,0.006996
original_base,0,3,운영,0.00681
original_base,0,4,추진,0.005965
original_base,0,5,행정,0.004771
original_base,0,6,공사,0.004678
original_base,0,7,승진,0.004365
original_base,0,8,인사,0.003769
original_base,0,9,참여,0.003582
original_base,0,10,업무,0.00343
original_base,0,11,자치,0.002541
original_base,0,12,조직,0.002459
original_base,0,13,직원,0.002352
original_base,0,14,부산시,0.002312
original_base,0,15,세종시,0.002217
original_base,1,1,주택,0.014689
original_base,1,2,정책,0.014207
original_base,1,3,규제,0.010602
original_base,1,4,성장,0.007077
original_base,1,5,세금,0.006789
original_base,1,6,추진,0.004281
original_base,1,7,평가,0.0042
original_base,1,8,공공,0.003771
original_base,1,9,부채,0.003311
original_base,1,10,계약,0.003189
original_base,1,11,기재부,0.00298
original_base,1,12,월세,0.002906
original_base,1,13,개선,0.00285
original_base,1,14,인하,0.002827
original_base,1,15,전세,0.002802
original_base,2,1,마음,0.006821
original_base,2,2,여성,0.004406
original_base,2,3,동물,0.002492
original_base,2,4,경험,0.002373
original_base,2,5,느낌,0.002345
original_base,2,6,의미,0.002284
original_base,2,7,화제,0.002093
original_base,2,8,혼자,0.002042
original_base,2,9,청년,0.001965
original_base,2,10,일상,0.001913
original_base,2,11,선물,0.001879
original_base,2,12,눈물,0.001811
original_base,2,13,감정,0.00179
original_base,2,14,머리,0.00179
original_base,2,15,현실,0.001784
original_base,3,1,산업,0.015525
original_base,3,2,혁신,0.011379
original_base,3,3,성장,0.00819
original_base,3,4,활용,0.007252
original_base,3,5,경영,0.006843
original_base,3,6,평가,0.006395
original_base,3,7,전략,0.006004
original_base,3,8,경쟁력,0.005804
original_base,3,9,운영,0.005431
original_base,3,10,플랫폼,0.005154
original_base,3,11,디지털,0.005075
original_base,3,12,정보,0.004931
original_base,3,13,추진,0.004931
original_base,3,14,성과,0.004855
original_base,3,15,데이터,0.004763
original_base,4,1,코로나,0.04063
original_base,4,2,연금,0.008017
original_base,4,3,의료,0.007639
original_base,4,4,확진자,0.007558
original_base,4,5,방역,0.007483
original_base,4,6,접종,0.006372
original_base,4,7,관리,0.006318
original_base,4,8,평가,0.00562
original_base,4,9,보험료,0.004131
original_base,4,10,보건,0.003692
original_base,4,11,요금,0.003497
original_base,4,12,질환,0.003254
original_base,4,13,개선,0.003079
original_base,4,14,증상,0.002875
original_base,4,15,물질,0.002632
original_base,5,1,평가,0.005971
original_base,5,2,공격,0.003285
original_base,5,3,의미,0.003088
original_base,5,4,성과,0.002371
original_base,5,5,행동,0.002051
original_base,5,6,조직,0.001983
original_base,5,7,무기,0.001883
original_base,5,8,전략,0.00174
original_base,5,9,동맹,0.001735
original_base,5,10,작전,0.001699
original_base,5,11,민족,0.001681
original_base,5,12,역할,0.001606
original_base,5,13,인권,0.001599
original_base,5,14,협정,0.001516
original_base,5,15,능력,0.001489
original_base,6,1,정책,0.008828
original_base,6,2,비판,0.008577
original_base,6,3,개혁,0.00853
original_base,6,4,인사,0.008505
original_base,6,5,평가,0.006986
original_base,6,6,논란,0.005945
original_base,6,7,책임,0.004527
original_base,6,8,역할,0.004285
original_base,6,9,갈등,0.003707
original_base,6,10,의미,0.003488
original_base,6,11,추진,0.003427
original_base,6,12,혁신,0.003332
original_base,6,13,판단,0.00316
original_base,6,14,제안,0.003108
original_base,6,15,참여,0.002696
original_base,7,1,교육,0.024146
original_base,7,2,평가,0.014774
original_base,7,3,운영,0.004584
original_base,7,4,인재,0.004226
original_base,7,5,능력,0.003658
original_base,7,6,고교,0.003612
original_base,7,7,참여,0.003489
original_base,7,8,학습,0.003325
original_base,7,9,고등학교,0.003235
original_base,7,10,경험,0.003199
original_base,7,11,자사고,0.003128
original_base,7,12,전공,0.003112
original_base,7,13,대학원,0.002993
original_base,7,14,입시,0.002908
original_base,7,15,청소년,0.002738
original_base,8,1,일자리,0.023482
original_base,8,2,청년,0.023114
original_base,8,3,여성,0.020061
original_base,8,4,노동자,0.013011
original_base,8,5,임금,0.012892
original_base,8,6,고용,0.012723
original_base,8,7,노동,0.011143
original_base,8,8,노조,0.009812
original_base,8,9,직원,0.007048
original_base,8,10,근로자,0.007001
original_base,8,11,취업,0.00676
original_base,8,12,장애인,0.00632
original_base,8,13,업무,0.005856
original_base,8,14,근무,0.005841
original_base,8,15,복지,0.005823
original_base,9,1,정보,0.008422
original_base,9,2,판단,0.007597
original_base,9,3,행위,0.005538
original_base,9,4,공무원,0.005468
original_base,9,5,조직,0.005315
original_base,9,6,논란,0.004632
original_base,9,7,직원,0.004058
original_base,9,8,개인,0.003637
original_base,9,9,절차,0.003523
original_base,9,10,업무,0.003203
original_base,9,11,진술,0.003155
original_base,9,12,책임,0.002788
original_base,9,13,문건,0.002611
original_base,9,14,침해,0.002597
original_base,9,15,압수수색,0.002466
