source,cluster_id,topic,hit_count,hit_terms
lda_topic_words_top15,organizational_culture,0,3,업무;조직;직원
lda_topic_words_top15,organizational_culture,1,0,
lda_topic_words_top15,organizational_culture,2,0,
lda_topic_words_top15,organizational_culture,3,0,
lda_topic_words_top15,organizational_culture,4,0,
lda_topic_words_top15,organizational_culture,5,1,조직
lda_topic_words_top15,organizational_culture,6,1,갈등
lda_topic_words_top15,organizational_culture,7,0,
lda_topic_words_top15,organizational_culture,8,3,직원;업무;근무
lda_topic_words_top15,organizational_culture,9,3,조직;직원;업무
lda_topic_words_top15,fairness,0,0,
lda_topic_words_top15,fairness,1,0,
lda_topic_words_top15,fairness,2,0,
lda_topic_words_top15,fairness,3,0,
lda_topic_words_top15,fairness,4,0,
lda_topic_words_top15,fairness,5,0,
lda_topic_words_top15,fairness,6,0,
lda_topic_words_top15,fairness,7,0,
lda_topic_words_top15,fairness,8,0,
lda_topic_words_top15,fairness,9,0,
lda_topic_words_top15,performance_npm,0,1,관리
lda_topic_words_top15,performance_npm,1,1,평가
lda_topic_words_top15,performance_npm,2,0,
lda_topic_words_top15,performance_npm,3,4,혁신;경영;평가;성과
lda_topic_words_top15,performance_npm,4,2,관리;평가
lda_topic_words_top15,performance_npm,5,2,평가;성과
lda_topic_words_top15,performance_npm,6,4,개혁;평가;책임;혁신
lda_topic_words_top15,performance_npm,7,1,평가
lda_topic_words_top15,performance_npm,8,0,
lda_topic_words_top15,performance_npm,9,1,책임
lda_topic_words_top15,digital_transformation,0,0,
lda_topic_words_top15,digital_transformation,1,0,
lda_topic_words_top15,digital_transformation,2,0,
lda_topic_words_top15,digital_transformation,3,3,플랫폼;디지털;데이터
lda_topic_words_top15,digital_transformation,4,0,
lda_topic_words_top15,digital_transformation,5,0,
lda_topic_words_top15,digital_transformation,6,0,
lda_topic_words_top15,digital_transformation,7,0,
lda_topic_words_top15,digital_transformation,8,0,
lda_topic_words_top15,digital_transformation,9,0,
lda_topic_words_top15,public_health_crisis,0,0,
lda_topic_words_top15,public_health_crisis,1,0,
lda_topic_words_top15,public_health_crisis,2,0,
lda_topic_words_top15,public_health_crisis,3,0,
lda_topic_words_top15,public_health_crisis,4,4,코로나;확진자;방역;접종
lda_topic_words_top15,public_health_crisis,5,0,
lda_topic_words_top15,public_health_crisis,6,0,
lda_topic_words_top15,public_health_crisis,7,0,
lda_topic_words_top15,public_health_crisis,8,0,
lda_topic_words_top15,public_health_crisis,9,0,
